type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,15071,d4:da:21:9b:81:01,-24,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215473970,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,1,15,3,14,3,14,0,11,-3,6,-6,0,-9,-4,-13,-6,-17,-7,-22,-7,-26,-8,-27,-8,-26,-6,-25,-5,-22,-3,-20,-3,-16,-4,-12,-6,-7,-8,-3,-9,0,-10,1,-10,0,-8,-3,-6,-7,-3,-12,-1,0,0,-16,-2,-14,-1,-11,-1,-6,1,-3,3,0,3,1,3,1,1,0,-3,-1,-9,-1,-14,-2,-18,-3,-21,-3,-23,-3,-23,-3,-21,-4,-18,-6,-15,-9,-14,-9,-14,-8,-15,-5,-14,-2,-13,0,-11,2,-10,3,-9,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15072,d4:da:21:9b:81:01,-22,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215485976,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,12,-4,12,-5,11,-4,8,-1,3,2,-2,5,-6,8,-8,11,-9,14,-10,17,-10,20,-10,21,-8,21,-7,21,-5,19,-5,17,-5,14,-6,10,-8,6,-9,3,-9,0,-8,-1,-7,0,-6,3,-5,7,-5,11,0,0,-6,12,-5,10,-3,7,1,4,3,2,4,0,4,0,2,0,-3,-1,-7,-3,-11,-5,-15,-6,-18,-7,-19,-8,-19,-8,-17,-8,-15,-6,-13,-4,-13,-2,-13,-2,-11,-3,-10,-4,-8,-6,-6,-7,-5,-7,-4,-8,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15073,d4:da:21:9b:81:01,-24,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215497982,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,15,-5,14,-7,13,-5,10,-2,6,3,1,6,-2,10,-3,14,-2,17,-1,22,0,26,0,27,2,26,2,25,3,21,2,19,0,16,-3,12,-7,8,-9,4,-11,1,-10,0,-9,0,-6,2,-3,6,0,9,0,0,2,11,3,10,4,7,4,3,4,0,3,-2,2,-3,0,-2,-3,0,-8,2,-12,5,-16,8,-18,10,-21,11,-21,11,-20,10,-16,10,-13,10,-10,11,-10,12,-10,11,-10,8,-11,6,-10,3,-10,1,-10,0,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15074,d4:da:21:9b:81:01,-24,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215509974,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,13,9,14,8,12,7,8,7,1,6,-4,5,-9,5,-12,7,-14,11,-16,15,-19,19,-20,20,-19,21,-17,20,-14,18,-12,15,-11,12,-11,7,-11,1,-10,-4,-9,-6,-8,-7,-7,-6,-6,-3,-6,1,-5,6,0,0,-3,9,-1,9,1,8,2,6,4,3,4,0,3,-1,2,-2,-2,-1,-7,-1,-12,0,-17,1,-21,2,-24,2,-23,2,-22,2,-19,3,-17,4,-14,6,-14,6,-13,5,-13,3,-12,1,-11,-1,-10,-3,-10,-4,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15075,d4:da:21:9b:81:01,-24,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215521966,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-4,16,-2,16,-2,15,-4,11,-6,4,-7,-2,-9,-5,-12,-6,-17,-7,-23,-6,-28,-7,-29,-7,-29,-6,-27,-5,-23,-3,-20,-3,-16,-4,-12,-6,-7,-8,-3,-10,-1,-11,1,-11,1,-9,-1,-6,-3,-3,-6,0,0,0,-8,5,-7,7,-5,7,-3,7,0,6,2,4,3,2,2,1,-1,-1,-5,-4,-9,-6,-14,-8,-18,-11,-19,-12,-20,-13,-19,-12,-17,-9,-15,-7,-15,-4,-14,-3,-13,-4,-12,-5,-11,-6,-9,-7,-8,-8,-7,-9,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15076,d4:da:21:9b:81:01,-24,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215533976,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-4,-17,-7,-16,-6,-15,-2,-12,2,-8,6,-3,9,-1,12,-1,16,-4,22,-7,27,-9,29,-10,28,-10,25,-10,20,-10,17,-8,14,-6,11,-2,9,2,7,5,5,8,4,9,3,8,2,4,2,0,1,-5,0,0,0,-10,-1,-11,-3,-9,-4,-7,-5,-5,-5,-2,-5,0,-3,0,1,-1,5,-2,9,-3,13,-6,17,-7,20,-8,20,-9,19,-8,16,-9,13,-9,10,-9,9,-10,9,-9,9,-8,10,-5,10,-3,10,-2,11,-1,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15077,d4:da:21:9b:81:01,-24,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215545995,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,1,17,3,17,2,16,-1,12,-5,6,-8,1,-10,-2,-13,-2,-18,1,-24,3,-30,4,-32,4,-30,5,-27,5,-22,5,-18,5,-14,3,-11,0,-8,-3,-6,-7,-4,-9,-3,-10,-2,-9,-1,-5,-1,0,-1,5,0,0,-1,10,0,11,1,10,2,7,4,4,4,2,4,0,2,-1,-2,0,-6,0,-10,1,-15,4,-19,5,-21,6,-22,7,-21,7,-18,7,-14,7,-11,8,-10,9,-10,8,-10,6,-11,4,-11,2,-11,0,-11,-1,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15078,d4:da:21:9b:81:01,-22,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215562021,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-8,-16,-9,-15,-6,-14,-2,-11,2,-6,7,-1,11,2,14,1,19,-1,25,-3,30,-3,31,-2,29,-3,27,-4,23,-4,18,-3,15,-3,9,-1,6,1,5,3,2,4,1,5,0,3,1,-1,4,-5,7,-9,0,0,12,-13,11,-12,8,-11,5,-8,1,-6,-3,-7,-3,-4,-2,-2,1,3,2,7,5,10,9,12,12,15,13,17,13,18,13,17,11,14,10,12,10,9,9,8,7,8,5,9,3,9,0,9,-1,10,-3,10,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15079,d4:da:21:9b:81:01,-22,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215573976,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-17,-5,-17,-4,-14,-4,-8,-6,-1,-6,5,-6,9,-7,10,-10,12,-15,14,-21,18,-25,19,-26,18,-24,15,-23,12,-20,9,-16,7,-13,5,-8,4,-5,4,-2,4,0,4,1,2,1,0,-3,-2,-8,-2,-13,0,0,-1,-18,0,-17,-1,-14,-2,-9,-4,-6,-5,-3,-4,-1,-1,0,3,2,7,4,11,4,15,3,19,3,21,4,21,4,20,3,18,3,15,1,13,-1,12,-1,11,1,10,3,9,5,7,7,6,9,4,10,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15080,d4:da:21:9b:81:01,-22,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215586037,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-13,-8,-13,-7,-11,-7,-5,-7,0,-5,6,-3,10,-3,12,-5,14,-9,18,-13,21,-16,23,-16,21,-16,19,-15,16,-13,13,-11,10,-9,7,-5,5,-3,5,-1,3,1,2,2,1,1,1,-2,2,-7,4,-10,0,0,7,-14,7,-14,5,-11,3,-8,0,-5,-3,-5,-3,-2,-2,0,1,4,2,7,4,9,7,11,10,13,11,15,12,15,11,14,10,12,9,10,9,8,8,7,7,8,5,9,2,9,0,9,-2,9,-4,9,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15081,d4:da:21:9b:81:01,-22,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215601975,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-11,-11,-11,-10,-8,-9,-3,-7,2,-3,6,0,9,1,12,0,16,-3,21,-7,25,-8,27,-8,26,-8,24,-7,21,-7,17,-5,13,-4,9,-3,6,-1,4,1,3,3,1,3,1,1,2,-2,5,-5,8,-8,0,0,13,-9,13,-8,10,-6,6,-4,2,-4,-2,-4,-3,-3,-3,0,-2,4,-2,8,-2,11,0,14,1,16,1,18,2,18,2,17,2,15,3,12,4,11,3,11,2,10,-1,10,-3,9,-6,8,-8,7,-9,5,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15082,d4:da:21:9b:81:01,-23,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215621976,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-4,-17,-5,-15,-4,-12,-1,-8,2,-1,4,4,7,7,11,8,16,7,23,7,29,9,31,11,30,10,28,9,24,8,20,6,16,5,11,5,7,5,3,5,-1,5,-2,4,-1,2,3,1,8,0,13,0,0,0,18,4,16,5,12,5,7,3,2,0,-1,-4,-3,-4,-4,-2,-6,2,-10,5,-11,8,-12,11,-13,14,-14,15,-13,16,-12,15,-10,13,-7,12,-6,12,-6,12,-7,10,-9,8,-10,5,-11,2,-12,-1,-11,-3,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15083,d4:da:21:9b:81:01,-22,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215633977,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,14,-1,13,-3,10,-2,6,0,0,2,-4,3,-7,5,-8,9,-9,13,-9,19,-11,24,-13,26,-12,25,-11,24,-10,21,-9,17,-7,14,-6,9,-6,6,-6,2,-6,-1,-4,-2,-3,-1,-2,2,-1,7,-2,11,0,0,-6,15,-7,13,-6,10,-4,5,-1,1,2,-2,2,-3,1,-4,-3,-6,-6,-9,-8,-10,-11,-11,-13,-12,-14,-13,-14,-11,-14,-10,-12,-8,-12,-5,-12,-4,-12,-4,-10,-5,-8,-7,-6,-8,-3,-9,-1,-10,1,-10,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15084,d4:da:21:9b:81:01,-24,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215645985,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,17,1,16,-2,14,-1,10,1,3,3,-2,4,-6,6,-7,9,-6,15,-6,22,-7,28,-9,30,-8,30,-8,28,-6,24,-6,20,-5,15,-5,9,-6,4,-6,-1,-6,-4,-5,-6,-3,-5,-1,-2,1,3,2,8,0,0,0,15,-1,15,-2,12,-3,7,-2,2,-2,-3,-1,-5,-3,-5,-7,-5,-11,-5,-14,-6,-17,-4,-20,-3,-21,-2,-21,-1,-19,0,-17,2,-14,5,-13,7,-13,8,-13,6,-12,3,-12,0,-10,-2,-9,-5,-7,-6,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,15085,d4:da:21:9b:81:01,-22,11,0,0,0,0,0,0,0,0,0,-99,0,12,2,215661975,0,37,0,128,0,"[0,0,0,0,0,0,0,0,0,0,0,0,16,3,15,1,13,1,9,2,2,3,-3,3,-7,5,-10,8,-12,14,-14,20,-17,25,-18,26,-17,27,-16,26,-14,23,-12,19,-10,14,-9,10,-8,5,-8,0,-7,-4,-5,-4,-3,-3,-1,2,-2,8,-3,13,0,0,-8,17,-8,15,-7,10,-4,6,-2,1,1,-2,2,-4,0,-4,-5,-6,-9,-9,-12,-11,-16,-11,-18,-12,-19,-12,-19,-11,-17,-9,-16,-6,-14,-3,-14,-1,-13,-1,-12,-2,-10,-4,-8,-6,-5,-7,-3,-9,-2,-9,0,0,0,0,0,0,0,0,0,0]"
